Summary,Assignees,Status,Issue key,Issue id,Description,Category,Priority,Reporter,Created,Issue URL,Comment,Higher Level Issue,,,,,,,,,,,,,
Correction synonomies in Erochilus,,To Do,TAX-51,10131,ALA is not correctly representing APC taxonomy in Eriochilus. Eriochilus dilatatus subsp. brevifolius (Benth.) Hopper & A.P.Br. is the APC approved name for Eriochilus dilatatus subsp. undulatus. Eriochilus glareosus G.Brockman & C.J.French is the APC current name for Eriochilus sp. Roleystone (G. Brockman 1140). ALA currently refers Eriochilus sp. Roleystone (G. Brockman 1140) incorrectly to Eriochilus dilatatus subsp. undulatus. ALA does not have Eriochilus glareosus G.Brockman & C.J.French as a valid taxa and also shows both Eriochilus dilatatus subsp. undulatus and Eriochilus dilatatus subsp. brevifolius (Benth.) Hopper & A.P.Br as accepted taxa.,Incorrect Synonomy,Urgent,Cam Slatyer,Cam Slatyer,,Issue raised by Cam October 2022,APC names load not correctly interpreting APC preferred name,,,,,,,,,,,,,
Correction synonomies in Goodenia,,To Do,TAX-50,10130,"ALA is not correctly referencing synonymies in Goodenia. Goodenia pritzelii is on the WA sensitive species list. Goodenia pritzelii Domin is a valid taxa according to APC (2006). The ALA matches this taxon incorrectly to Goodenia microptera F.Muell., also a valid taxon according to APC 2007",Incorrect Synonomy,Urgent,Cam Slatyer,Cam Slatyer,,Issue raised by Cam October 2022,APC names load not correctly interpreting APC preferred name,,,,,,,,,,,,,
Rhinonicteris aurantia (Pilbara) data not attaching correctly,,To Do,TAX-49,10129,The listed species Rhinonicteris aurantia (Pilbara) has an unranked taxa created for it however data is still attaching to the nominate species (Rhinonicteris aurantia),Name Matching,Urgent,Cam Slatyer,Cam Slatyer,,Issue raised by Cam October 2022,Data matching not attaching data to correct taxon,,,,,,,,,,,,,
Listing not attaching to Acacia lasiocarpa var. lasiocarpa Cockleshell Gully variant (E.A. Griffin 2039) ,,To Do,TAX-48,10128,A taxon exists in ALA for listed species Acacia lasiocarpa var. lasiocarpa Cockleshell Gully variant (E.A. Griffin 2039) and has data attaching to it but listing and sensitivity  information is not attaching ,Threatened species,Urgent,Cam Slatyer,Cam Slatyer,,Issue raised by Cam October 2022,Data matching not attaching listing information to correct taxon,,,,,,,,,,,,,
Lindernia eremophiloides incorrectly showing as a synonym of Vandellia eremophiloides,,To Do,TAX-47,10127,"ALA incorrectly shows listed species L. eremophiloides as a synonym of Vandellia eremophiloides. Instead, Vandellia eremophiloides (W.R.Barker) Eb.Fisch., Schäferh. & Kai Müll. Is a synonym of Lindernia eremophiloides W.R.Barker (APC 2020)",Incorrect Synonomy,Urgent,Cam Slatyer,Cam Slatyer,,Issue raised by Cam October 2022,APC names load not correctly interpreting APC preferred name,,,,,,,,,,,,,
Lindernia macrosiphonia incorrectly showing as a synonym of Vandella eremophiloides,,To Do,TAX-46,10126,"ALA incorrectly shows the listed species Lindernia macrosiphonia (F.Muell.) W.R.Barker as a synonym of Vandellia macrosiphonia (F.Muell.) Eb.Fisch., Schäferh. & Kai Müll. According to APC 2021, Lindernia macrosiphonia (F.Muell.) W.R.Barker is the accepted species.",Incorrect Synonomy,Urgent,Cam Slatyer,Cam Slatyer,,Issue raised by Cam October 2022,APC names load not correctly interpreting APC preferred name,,,,,,,,,,,,,
Lomandra acicularis incorrectly referred by ALA to Lomandra sp. Kimberley (M.D.Barrett 1036) WA Herbarium,,To Do,TAX-45,10125,ALA incorrectly refers listed species Lomandra acicularis ms M.D.Barrett to Lomandra sp. Kimberley (M.D.Barrett 1036) WA Herbarium and also has a separate entry for Lomandra acicularis M.D.Barrett. Lomandra acicularis M.D.Barrett is the correct current accepted name (APC 2021) and both Lomandra acicularis ms M.D.Barrett and Lomandra sp. Kimberley (M.D.Barrett 1036) WA Herbarium are junior synonyms,Incorrect Synonomy,Urgent,Cam Slatyer,Cam Slatyer,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2889512            https://bie.ala.org.au/species/Lomandra_acicularis,Issue raised by Cam October 2022,APC names load not correctly interpreting APC preferred name,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Different NSL Namespaces for different taxon IDs in ALA,,To Do,TAX-44,10124,"The identifiers that the ALA uses as species ids use multiple NSL URIs. The odd thing is that they come from different namespaces. Fauna seem to come from the one AFD URI, however there are different classes of URI for the plant/moss/lichen taxa.  i.e. For the plants (APNI), the species ids are variously show as , ,  or . Mosses (AusMoss) are variously shown as ,  or  and lichens as  or . It looks very much like the ALA has ended up with a surprising mixture of records from different parts of the APNI/APC graph.  these URIs are as follows:

[https://biodiversity.org.au/afd/taxa/|https://biodiversity.org.au/afd/taxa/]
[https://id.biodiversity.org.au/https://id.biodiversity.org.au/name/apni/|https://id.biodiversity.org.au/https:/id.biodiversity.org.au/name/apni/] [https://id.biodiversity.org.au/instance/apni/|https://id.biodiversity.org.au/instance/apni/]
[https://id.biodiversity.org.au/instance/ausmoss/|https://id.biodiversity.org.au/instance/ausmoss/]
[https://id.biodiversity.org.au/name/apni/|https://id.biodiversity.org.au/name/apni/]
[https://id.biodiversity.org.au/node/apni/|https://id.biodiversity.org.au/node/apni/]
[https://id.biodiversity.org.au/node/ausmoss/|https://id.biodiversity.org.au/node/ausmoss/]
[https://id.biodiversity.org.au/node/lichen/|https://id.biodiversity.org.au/node/lichen/]
[https://id.biodiversity.org.au/taxon/apni/|https://id.biodiversity.org.au/taxon/apni/]
[https://id.biodiversity.org.au/taxon/ausmoss/|https://id.biodiversity.org.au/taxon/ausmoss/]
[https://id.biodiversity.org.au/taxon/lichen/|https://id.biodiversity.org.au/taxon/lichen/]",Name Matching,Low,Tania Laity,11/01/2023 15:22,,"issue raised by Donald 9/11/2022 - and commented that it could be that each node in APNI has multiple identifiers and this is simply lack of tidiness, but I think it would be worthwhile to explore how this variation comes to be.",,,,,,,,,,,,,,
Multiple entries of Thalassarche chlororhynchos on taxon tree,,To Do,TAX-43,10123,Multiple entries of Thalassarche chlororhynchos on taxon tree - two from NZOR and one from the Bonn Convention list.  Two out of three of these have records attached (not the same records),Duplicate Taxa,Low,Tania Laity,11/01/2023 15:12,,"issue raised by Donald 8/11/2022 who made the following recommendations: 

*Recommendation: If the ALA is going to use CAAB, a human reviewer should check the placement of taxa and correct issue before its contents are treated as Accepted taxa.*

*Recommendation: Do not use NZOR as a source for Accepted Australian taxa.*",,,,,,,,,,,,,,
Taxon names matching to wrong Kingdom,,To Do,TAX-42,10122,"the placement of the other Accepted and Inferred Accepted names has used the ALA fuzzy matching and makes serious errors. Two more dreadful examples, both of molluscs (reported with animal classifications in CAAB) that have been grafted into Plantae e.g Mitrella dictua and Ficus. This means that, even when the ALA reports no fuzzy matching issues, fuzzy matching has occurred and degraded data.",Incorrect Taxonomy,Medium,Tania Laity,11/01/2023 15:07,,issue raised by Donald 8/11/22,,,,,,,,,,,,,,
inferred taxa from non-authoritative lists not marked with data quality flag,,To Do,TAX-41,10121,"The ALA uses the ANSL as the core of its taxonomic backbone (all of these taxa have HTTPS URIs as their ids), but supplements it with CAAB (numeric taxon ids) and NZOR ( taxon ids). These are all treated as . Additionally, there are other taxa that the ALA has included because they appear in other necessary sources (e.g.  or ) - these have taxon ids of the form  and are marked as  at the taxon level.  Occurrence records associated with any of these taxa have no taxonomic issue flags. In other words, they are shown as clean and beyond suspicion. I think the only way to find out that some are  would be to query the taxon records.  this causes issues for users when querying the data where they need to exclude records for these taxa (can't do it it using quality flag).",Invalid Names,Low,Tania Laity,11/01/2023 15:00,,"issue raised by Donald 8/11/22 who recommended the following:

*Recommendation: Users should be able to understand the taxonomic confidence for the taxon referenced in any occurrence record without having to download the taxonomy.* This could be a three-tier ranking: 1) ANSL, 2) Other trusted sources (CAAB, in particular) stitched in by ALA algorithms, 3) Anything else. Official users like ABARES want to know that they are using the trusted national taxonomy and that is ANSL.",,,,,,,,,,,,,,
